Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
25,Video,Mid-swing,00:38.753,00:38.925,00:00.172,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Terminal swing,00:38.925,00:39.085,00:00.160,00:37.430,00:01.370,00:37.854,00:01.232
26,CSV,Heel strike - Loading response,00:38.799,00:38.921,00:00.122,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Mid-stance,00:38.921,00:39.165,00:00.244,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Terminal stance,00:39.165,00:39.409,00:00.244,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Pre-swing,00:39.409,00:39.531,00:00.122,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Toe-off,00:39.531,00:39.690,00:00.158,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Mid-swing,00:39.690,00:39.861,00:00.170,00:38.800,00:01.220,00:39.086,00:01.233
26,CSV,Terminal swing,00:39.861,00:40.020,00:00.158,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Heel strike - Loading response,00:39.085,00:39.209,00:00.123,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Mid-stance,00:39.209,00:39.455,00:00.246,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Terminal stance,00:39.455,00:39.702,00:00.246,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Pre-swing,00:39.702,00:39.825,00:00.123,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Toe-off,00:39.825,00:39.986,00:00.160,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Mid-swing,00:39.986,00:40.158,00:00.172,00:38.800,00:01.220,00:39.086,00:01.233
26,Video,Terminal swing,00:40.158,00:40.319,00:00.160,00:38.800,00:01.220,00:39.086,00:01.233
29,CSV,Heel strike - Loading response,00:42.969,00:43.084,00:00.115,00:42.969,00:01.154,00:43.018,00:01.433
29,CSV,Mid-stance,00:43.084,00:43.315,00:00.230,00:42.969,00:01.154,00:43.018,00:01.433
29,CSV,Terminal stance,00:43.315,00:43.545,00:00.230,00:42.969,00:01.154,00:43.018,00:01.433
29,CSV,Pre-swing,00:43.545,00:43.661,00:00.115,00:42.969,00:01.154,00:43.018,00:01.433
29,CSV,Toe-off,00:43.661,00:43.811,00:00.150,00:42.969,00:01.154,00:43.018,00:01.433
